model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_changepoint_prior_scale,param_changepoint_range,param_seasonality_mode,param_seasonality_prior_scale,info_mae,info_rmse,info_r2
prophet,no_wsi_wind,0,2024-10-19 18:00:00,14587.0,15146.338511544467,559.3385115444671,559.3385115444671,312859.57049678,3.834499976308244,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,1,2024-10-19 19:00:00,15062.25,15755.252529005314,693.0025290053145,693.0025290053145,480252.5052077618,4.600923029460103,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,2,2024-10-19 20:00:00,15401.25,15201.969140809366,-199.28085919063412,199.28085919063412,39712.86083975736,1.2939265266813067,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,3,2024-10-19 21:00:00,14072.75,15596.920258431865,1524.1702584318646,1524.1702584318646,2323094.976688257,10.830649719712078,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,4,2024-10-19 22:00:00,14483.5,14659.446186467438,175.94618646743766,175.94618646743766,30957.06053243434,1.2148043391950576,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,5,2024-10-19 23:00:00,14152.5,13528.117206334624,-624.3827936653761,624.3827936653761,389853.8730253796,4.41181977505695,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,6,2024-10-20 00:00:00,13325.75,13067.63791054262,-258.11208945738144,258.11208945738144,66621.85072405529,1.9369423068659384,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,7,2024-10-20 01:00:00,12414.0,12387.2358623527,-26.76413764730023,26.76413764730023,716.3190640036336,0.2155964044407819,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,8,2024-10-20 02:00:00,12115.0,12452.268320356245,337.26832035624284,337.26832035624284,113749.91991592124,2.783890386759921,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,9,2024-10-20 03:00:00,11897.25,13076.476211392592,1179.2262113925915,1179.2262113925915,1390574.4576353254,9.911754492774383,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,10,2024-10-20 04:00:00,11846.5,12582.350500608987,735.850500608989,735.850500608989,541475.9592464997,6.211543498994368,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,11,2024-10-20 05:00:00,11822.5,11562.678521743706,-259.82147825629363,259.82147825629363,67507.20056328566,2.1976864305863724,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,12,2024-10-20 06:00:00,11933.75,10555.299861332009,-1378.4501386679913,1378.4501386679913,1900124.7847938044,11.55085483328238,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,13,2024-10-20 07:00:00,11748.5,9118.046755232368,-2630.453244767632,2630.453244767632,6919284.272908564,22.38969438452052,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,14,2024-10-20 08:00:00,11833.0,10539.106273862388,-1293.8937261376122,1293.8937261376122,1674160.9745382743,10.93462119611695,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,15,2024-10-20 09:00:00,13405.25,10719.964067623489,-2685.2859323765133,2685.2859323765133,7210760.538619201,20.03159905540374,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
prophet,no_wsi_wind,16,2024-10-20 10:00:00,14577.25,12626.328330448488,-1950.921669551513,1950.921669551513,3806095.360725664,13.383331352279578,2025-11-27 19:11:30,0.0080018518272942,0.9101302137806762,additive,0.0181931316083169,4188.685107811903,5188.235609957911,0.8376823468288985
